journal_title,issn,exclude_from_analysis,exclusion_reason,decision_by,decision_date,notes
Brazilian Journal of Political Economy,0101-3157,TRUE,out_of_scope_economics,Manoel,2026-06-02,"Excluir periódico inteiro da análise principal; preservar no corpus."
Brazilian Journal of Political Economy,1809-4538,TRUE,out_of_scope_economics,Manoel,2026-06-02,"Excluir periódico inteiro da análise principal; preservar no corpus."
Civitas - Revista de Ciências Sociais,1519-6089,TRUE,out_of_scope_social_sciences,Manoel,2026-06-02,"Excluir periódico inteiro da análise principal por escopo amplo de sociologia/antropologia; preservar no corpus."
Civitas - Revista de Ciências Sociais,1984-7289,TRUE,out_of_scope_social_sciences,Manoel,2026-06-02,"Excluir periódico inteiro da análise principal por escopo amplo de sociologia/antropologia; preservar no corpus."
Revista de Administração Pública,0034-7612,TRUE,out_of_scope_public_administration,Manoel,2026-06-16,"Excluir periódico inteiro da análise principal por escopo de administração pública; preservar no corpus."
Revista de Administração Pública,1982-3134,TRUE,out_of_scope_public_administration,Manoel,2026-06-16,"Excluir periódico inteiro da análise principal por escopo de administração pública; preservar no corpus."
Sur. Revista Internacional de Direitos Humanos,1806-6445,TRUE,out_of_scope_human_rights_law,Manoel,2026-06-16,"Excluir periódico inteiro da análise principal por escopo de direitos humanos/direito; preservar no corpus."
Sur. Revista Internacional de Direitos Humanos,1983-3342,TRUE,out_of_scope_human_rights_law,Manoel,2026-06-16,"Excluir periódico inteiro da análise principal por escopo de direitos humanos/direito; preservar no corpus."
Lua Nova: Revista de Cultura e Política,0102-6445,TRUE,temporarily_ineligible_pending_classification,Manoel,2026-07-19,"Excluir o periódico inteiro da análise principal nesta versão porque sua classificação canônica ainda é incompleta; preservar manifest, textos e classificações."
Lua Nova: Revista de Cultura e Política,1807-0175,TRUE,temporarily_ineligible_pending_classification,Manoel,2026-07-19,"Excluir o periódico inteiro da análise principal nesta versão porque sua classificação canônica ainda é incompleta; preservar manifest, textos e classificações."
Novos estudos CEBRAP,0101-3300,TRUE,temporarily_ineligible_pending_classification,Manoel,2026-07-19,"Excluir o periódico inteiro da análise principal nesta versão porque sua classificação canônica ainda é incompleta; preservar manifest, textos e classificações."
Novos estudos CEBRAP,1980-5403,TRUE,temporarily_ineligible_pending_classification,Manoel,2026-07-19,"Excluir o periódico inteiro da análise principal nesta versão porque sua classificação canônica ainda é incompleta; preservar manifest, textos e classificações."
