journal_title,period_3,manifest_n,classified_n,remaining_n,coverage_percent
Brazilian Political Science Review,2005-2011,46,46,0,100
Brazilian Political Science Review,2012-2018,108,108,0,100
Brazilian Political Science Review,2019-2025,114,114,0,100
Cadernos Gestão Pública e Cidadania,2019-2025,120,120,0,100
Contexto Internacional,2005-2011,102,102,0,100
Contexto Internacional,2012-2018,170,170,0,100
Contexto Internacional,2019-2025,184,39,145,21.2
Dados,2005-2011,181,0,181,0
Dados,2012-2018,212,0,212,0
Dados,2019-2025,229,0,229,0
Lua Nova: Revista de Cultura e Política,2005-2011,141,0,141,0
Lua Nova: Revista de Cultura e Política,2012-2018,188,0,188,0
Lua Nova: Revista de Cultura e Política,2019-2025,182,0,182,0
Novos estudos CEBRAP,2005-2011,236,0,236,0
Novos estudos CEBRAP,2012-2018,180,0,180,0
Novos estudos CEBRAP,2019-2025,166,0,166,0
Opinião Pública,2005-2011,117,0,117,0
Opinião Pública,2012-2018,163,0,163,0
Opinião Pública,2019-2025,184,0,184,0
Revista Brasileira de Ciência Política,2005-2011,29,0,29,0
Revista Brasileira de Ciência Política,2012-2018,194,0,194,0
Revista Brasileira de Ciência Política,2019-2025,168,0,168,0
Revista Brasileira de Ciências Sociais,2005-2011,222,0,222,0
Revista Brasileira de Ciências Sociais,2012-2018,237,0,237,0
Revista Brasileira de Ciências Sociais,2019-2025,249,0,249,0
Revista Brasileira de Política Internacional,2005-2011,155,0,155,0
Revista Brasileira de Política Internacional,2012-2018,168,0,168,0
Revista Brasileira de Política Internacional,2019-2025,167,0,167,0
Revista de Sociologia e Política,2005-2011,254,0,254,0
Revista de Sociologia e Política,2012-2018,224,0,224,0
Revista de Sociologia e Política,2019-2025,160,0,160,0
