agent_id,field,n_articles,n_valid,n_matches_gold,agreement_rate
agent_a,brief_justification,175,175,0,0
agent_a,mentions_pre_registered_design_and_analysis_plan,175,175,14,0.08
agent_a,makes_implicit_causal_claim,175,175,26,0.14857142857142858
agent_a,makes_explicit_causal_claim,175,175,29,0.1657142857142857
agent_a,uses_original_dataset,175,175,98,0.56
agent_a,seeks_determinants,175,175,103,0.5885714285714285
agent_a,general_goal_of_analysis,175,175,107,0.6114285714285714
agent_a,strong_non_causal_causal_qualification,175,175,111,0.6342857142857142
agent_a,discusses_threats_to_causality,175,175,113,0.6457142857142857
agent_a,statement_of_identification_assumptions,175,175,113,0.6457142857142857
agent_a,claims_any_statistically_significant_results,175,175,117,0.6685714285714286
agent_a,clearly_defined_explanatory_variable,175,175,125,0.7142857142857143
agent_a,error_in_raw_text,175,175,130,0.7428571428571429
agent_a,references_power_analysis,175,175,133,0.76
agent_a,single_region,175,175,133,0.76
agent_a,specifies_estimate_equations,175,175,133,0.76
agent_a,effort_to_explore_mechanisms,175,175,134,0.7657142857142857
agent_a,clear_causal_quantity_of_interest,175,175,136,0.7771428571428571
agent_a,method_status,175,175,141,0.8057142857142857
agent_a,dependent_variables,175,175,146,0.8342857142857143
agent_a,independent_variables,175,175,146,0.8342857142857143
agent_a,evidence_type,175,175,147,0.84
agent_a,countries_of_focus,175,175,150,0.8571428571428571
agent_a,subfield,175,175,150,0.8571428571428571
agent_a,other_research_design,175,175,155,0.8857142857142857
agent_a,is_empirical_quant_paper,175,175,156,0.8914285714285715
agent_a,main_causal_research_design,175,175,156,0.8914285714285715
agent_a,placebo_test,175,175,158,0.9028571428571428
agent_a,sample_size_quote,175,175,158,0.9028571428571428
agent_a,single_country_study,175,175,158,0.9028571428571428
agent_a,sample_size,175,175,159,0.9085714285714286
agent_a,paper_uses_survey_data,175,175,165,0.9428571428571428
agent_a,main_variable_relationship,175,175,168,0.96
agent_a,instrumental_variable_instrument,175,175,175,1
agent_a,statement_of_identification_assumptions_quote,175,175,175,1
agent_b,brief_justification,175,175,0,0
agent_b,effort_to_explore_mechanisms,175,175,14,0.08
agent_b,references_power_analysis,175,175,41,0.2342857142857143
agent_b,general_goal_of_analysis,175,175,58,0.3314285714285714
agent_b,uses_original_dataset,175,175,76,0.4342857142857143
agent_b,seeks_determinants,175,175,88,0.5028571428571429
agent_b,specifies_estimate_equations,175,175,89,0.5085714285714286
agent_b,clear_causal_quantity_of_interest,175,175,103,0.5885714285714285
agent_b,placebo_test,175,175,107,0.6114285714285714
agent_b,strong_non_causal_causal_qualification,175,175,108,0.6171428571428571
agent_b,makes_explicit_causal_claim,175,175,115,0.6571428571428571
agent_b,discusses_threats_to_causality,175,175,116,0.6628571428571428
agent_b,statement_of_identification_assumptions,175,175,118,0.6742857142857143
agent_b,claims_any_statistically_significant_results,175,175,130,0.7428571428571429
agent_b,error_in_raw_text,175,175,130,0.7428571428571429
agent_b,clearly_defined_explanatory_variable,175,175,131,0.7485714285714286
agent_b,single_region,175,175,131,0.7485714285714286
agent_b,evidence_type,175,175,136,0.7771428571428571
agent_b,makes_implicit_causal_claim,175,175,139,0.7942857142857143
agent_b,method_status,175,175,146,0.8342857142857143
agent_b,subfield,175,175,147,0.84
agent_b,dependent_variables,175,175,151,0.8628571428571429
agent_b,independent_variables,175,175,151,0.8628571428571429
agent_b,countries_of_focus,175,175,153,0.8742857142857143
agent_b,main_variable_relationship,175,175,155,0.8857142857142857
agent_b,is_empirical_quant_paper,175,175,156,0.8914285714285715
agent_b,single_country_study,175,175,157,0.8971428571428571
agent_b,sample_size_quote,175,175,158,0.9028571428571428
agent_b,sample_size,175,175,159,0.9085714285714286
agent_b,mentions_pre_registered_design_and_analysis_plan,175,175,161,0.92
agent_b,other_research_design,175,175,161,0.92
agent_b,paper_uses_survey_data,175,175,164,0.9371428571428572
agent_b,main_causal_research_design,175,175,165,0.9428571428571428
agent_b,instrumental_variable_instrument,175,175,175,1
agent_b,statement_of_identification_assumptions_quote,175,175,175,1
agent_c,brief_justification,175,175,0,0
agent_c,mentions_pre_registered_design_and_analysis_plan,175,175,14,0.08
agent_c,makes_explicit_causal_claim,175,175,65,0.37142857142857144
agent_c,makes_implicit_causal_claim,175,175,69,0.3942857142857143
agent_c,effort_to_explore_mechanisms,175,175,76,0.4342857142857143
agent_c,clearly_defined_explanatory_variable,175,175,87,0.49714285714285716
agent_c,seeks_determinants,175,175,95,0.5428571428571428
agent_c,uses_original_dataset,175,175,95,0.5428571428571428
agent_c,general_goal_of_analysis,175,175,108,0.6171428571428571
agent_c,discusses_threats_to_causality,175,175,113,0.6457142857142857
agent_c,statement_of_identification_assumptions,175,175,113,0.6457142857142857
agent_c,claims_any_statistically_significant_results,175,175,117,0.6685714285714286
agent_c,specifies_estimate_equations,175,175,120,0.6857142857142857
agent_c,clear_causal_quantity_of_interest,175,175,123,0.7028571428571428
agent_c,countries_of_focus,175,175,125,0.7142857142857143
agent_c,single_country_study,175,175,126,0.72
agent_c,error_in_raw_text,175,175,130,0.7428571428571429
agent_c,evidence_type,175,175,131,0.7485714285714286
agent_c,single_region,175,175,131,0.7485714285714286
agent_c,subfield,175,175,131,0.7485714285714286
agent_c,references_power_analysis,175,175,133,0.76
agent_c,method_status,175,175,137,0.7828571428571428
agent_c,dependent_variables,175,175,148,0.8457142857142858
agent_c,independent_variables,175,175,150,0.8571428571428571
agent_c,strong_non_causal_causal_qualification,175,175,153,0.8742857142857143
agent_c,main_variable_relationship,175,175,155,0.8857142857142857
agent_c,other_research_design,175,175,157,0.8971428571428571
agent_c,main_causal_research_design,175,175,158,0.9028571428571428
agent_c,placebo_test,175,175,158,0.9028571428571428
agent_c,is_empirical_quant_paper,175,175,159,0.9085714285714286
agent_c,sample_size_quote,175,175,164,0.9371428571428572
agent_c,sample_size,175,175,165,0.9428571428571428
agent_c,paper_uses_survey_data,175,175,166,0.9485714285714286
agent_c,instrumental_variable_instrument,175,175,175,1
agent_c,statement_of_identification_assumptions_quote,175,175,175,1
